layer,position,r2_heldout_mean,r2_train_mean,best_alpha,alpha_pinned
13,d5_first,0.6209,0.9348,31622.776601683792,False
13,d5_last,0.6243,0.9447,31622.776601683792,False
13,d6_pre,0.656,0.9448,3162.2776601683795,False
13,d6_first,0.6181,0.9372,10000.0,False
13,d6_last,0.6201,0.9432,10000.0,False
13,d7_pre,0.6681,0.9468,3162.2776601683795,False
13,d7_first,0.6231,0.9384,10000.0,False
13,d7_last,0.621,0.9435,10000.0,False
13,d8_pre,0.6719,0.9484,3162.2776601683795,False
13,d8_first,0.6225,0.9404,10000.0,False
13,d8_last,0.6241,0.945,10000.0,False
13,d9_pre,0.6784,0.9493,3162.2776601683795,False
13,d9_first,0.6297,0.9403,10000.0,False
13,d9_last,0.6283,0.9446,10000.0,False
13,d10_pre,0.6852,0.9467,3162.2776601683795,False
13,d10_first,0.6304,0.9371,10000.0,False
13,d10_last,0.6294,0.9414,10000.0,False
13,query_cue,0.5403,0.787,1000.0,False
14,d1_pre,-0.0465,0.2692,316227.7660168379,False
14,d1_first,0.4308,0.822,100000.0,False
14,d1_last,0.4986,0.8901,100000.0,False
14,d2_pre,0.4442,0.8761,10000.0,False
14,d2_first,0.5496,0.9126,31622.776601683792,False
14,d2_last,0.5717,0.9325,31622.776601683792,False
14,d3_pre,0.5877,0.9233,10000.0,False
14,d3_first,0.5937,0.9264,31622.776601683792,False
14,d3_last,0.6029,0.9401,31622.776601683792,False
14,d4_pre,0.6238,0.938,10000.0,False
14,d4_first,0.6058,0.932,31622.776601683792,False
14,d4_last,0.6112,0.9428,31622.776601683792,False
14,d5_pre,0.6403,0.9405,3162.2776601683795,False
14,d5_first,0.6189,0.9354,31622.776601683792,False
14,d5_last,0.6217,0.9452,31622.776601683792,False
14,d6_pre,0.6503,0.9432,3162.2776601683795,False
14,d6_first,0.614,0.9356,10000.0,False
14,d6_last,0.6165,0.9421,10000.0,False
14,d7_pre,0.6635,0.9451,3162.2776601683795,False
14,d7_first,0.6176,0.9368,10000.0,False
14,d7_last,0.6163,0.9423,10000.0,False
14,d8_pre,0.669,0.9466,3162.2776601683795,False
14,d8_first,0.6191,0.9387,10000.0,False
14,d8_last,0.6209,0.9438,10000.0,False
14,d9_pre,0.6744,0.9473,3162.2776601683795,False
14,d9_first,0.6247,0.9385,10000.0,False
14,d9_last,0.6245,0.9433,10000.0,False
14,d10_pre,0.6823,0.9446,3162.2776601683795,False
14,d10_first,0.6261,0.9351,10000.0,False
14,d10_last,0.6256,0.9401,10000.0,False
14,query_cue,0.5326,0.7801,1000.0,False
15,d1_pre,-0.0492,0.2815,316227.7660168379,False
15,d1_first,0.4325,0.8279,100000.0,False
15,d1_last,0.5007,0.8946,100000.0,False
15,d2_pre,0.4527,0.8487,31622.776601683792,False
15,d2_first,0.5491,0.9146,31622.776601683792,False
15,d2_last,0.5704,0.9335,31622.776601683792,False
15,d3_pre,0.5984,0.929,10000.0,False
15,d3_first,0.5945,0.9285,31622.776601683792,False
15,d3_last,0.6035,0.9409,31622.776601683792,False
15,d4_pre,0.6349,0.9423,10000.0,False
15,d4_first,0.6074,0.9339,31622.776601683792,False
15,d4_last,0.6125,0.9436,31622.776601683792,False
15,d5_pre,0.6565,0.9486,10000.0,False
15,d5_first,0.621,0.9372,31622.776601683792,False
15,d5_last,0.6241,0.946,31622.776601683792,False
15,d6_pre,0.6567,0.9418,3162.2776601683795,False
15,d6_first,0.6259,0.9395,31622.776601683792,False
15,d6_last,0.6164,0.9409,10000.0,False
15,d7_pre,0.6694,0.943,3162.2776601683795,False
15,d7_first,0.6183,0.9355,10000.0,False
15,d7_last,0.6176,0.9411,10000.0,False
15,d8_pre,0.6759,0.9439,3162.2776601683795,False
15,d8_first,0.6184,0.9373,10000.0,False
15,d8_last,0.6216,0.9424,10000.0,False
15,d9_pre,0.6805,0.9439,3162.2776601683795,False
15,d9_first,0.6255,0.9369,10000.0,False
15,d9_last,0.6258,0.942,10000.0,False
15,d10_pre,0.688,0.9406,3162.2776601683795,False
15,d10_first,0.626,0.9334,10000.0,False
15,d10_last,0.6257,0.9387,10000.0,False
15,query_cue,0.5324,0.7731,1000.0,False
16,d1_pre,-0.0724,0.3044,316227.7660168379,False
16,d1_first,0.4325,0.8361,100000.0,False
16,d1_last,0.5012,0.8997,100000.0,False
16,d2_pre,0.4487,0.8555,31622.776601683792,False
16,d2_first,0.5454,0.9163,31622.776601683792,False
16,d2_last,0.5677,0.9344,31622.776601683792,False
16,d3_pre,0.5859,0.9136,31622.776601683792,False
16,d3_first,0.5912,0.9293,31622.776601683792,False
16,d3_last,0.6014,0.9414,31622.776601683792,False
16,d4_pre,0.6255,0.9391,10000.0,False
16,d4_first,0.603,0.9341,31622.776601683792,False
16,d4_last,0.6095,0.944,31622.776601683792,False
16,d5_pre,0.6465,0.945,10000.0,False
16,d5_first,0.6166,0.9372,31622.776601683792,False
16,d5_last,0.6211,0.9463,31622.776601683792,False
16,d6_pre,0.6584,0.9482,10000.0,False
16,d6_first,0.6218,0.9393,31622.776601683792,False
16,d6_last,0.624,0.9474,31622.776601683792,False
16,d7_pre,0.6667,0.9503,10000.0,False
16,d7_first,0.6225,0.9405,31622.776601683792,False
16,d7_last,0.6236,0.9475,31622.776601683792,False
16,d8_pre,0.6605,0.9357,3162.2776601683795,False
16,d8_first,0.6097,0.9342,10000.0,False
16,d8_last,0.6146,0.9406,10000.0,False
16,d9_pre,0.6641,0.9356,3162.2776601683795,False
16,d9_first,0.6159,0.9337,10000.0,False
16,d9_last,0.6184,0.94,10000.0,False
16,d10_pre,0.6707,0.9319,3162.2776601683795,False
