task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
park-country,train,1,-1.73976,-12.9092,-22.8717,-11.4543,-2.28146,-7.23059,-3.43281,3.00882,1.31088,2.00352
park-country,train,2,-6.03555,-17.9977,-26.54,-12.9413,2.92956,-8.00577,-3.49078,-2.16946,-2.89154,3.64267
park-country,train,3,-7.25299,-19.3442,-27.6307,-12.1017,5.46808,-9.1203,-4.51435,-5.47504,-3.71812,3.60046
park-country,train,4,-7.59434,-19.2166,-27.9936,-11.6687,5.90621,-9.12604,-4.58744,-6.69855,-4.29152,3.76413
park-country,train,5,-7.96682,-19.1104,-27.5999,-11.5376,6.06092,-8.80066,-4.76378,-7.3647,-4.36103,3.5087
park-country,train,6,-7.84651,-19.1377,-27.8166,-11.9879,6.47242,-8.92221,-4.9738,-7.96228,-3.88283,3.11077
park-country,train,7,-8.21876,-18.8588,-27.3378,-11.8146,6.08596,-8.76897,-4.50576,-8.21127,-4.35582,3.09754
park-country,train,8,-8.49278,-18.4716,-27.0627,-11.8375,6.40925,-8.50591,-4.47845,-8.43739,-4.3255,3.24827
park-country,train,9,-7.84156,-18.0538,-26.8459,-12.1496,6.13832,-8.18745,-4.28283,-8.12568,-3.78489,2.89597
park-country,train,10,-8.2186,-18.0837,-26.8769,-12.1893,6.13873,-8.3294,-4.32185,-8.52345,-3.75542,2.91837
person-instrument,train,1,-9.00352,-18.6729,-1.05234,18.7802,-4.38361,5.01527,-12.8228,15.8018,10.8262,-5.90137
person-instrument,train,2,-13.2786,-22.7001,2.15516,22.3796,1.39287,6.68147,-12.866,13.3328,8.84187,-5.64477
person-instrument,train,3,-17.2202,-25.1426,4.18964,25.5606,2.4397,5.75281,-15.2533,11.5296,8.31445,-6.05898
person-instrument,train,4,-18.7623,-25.8668,5.14258,26.8115,3.03697,5.67378,-16.1675,10.4237,8.40368,-6.55754
person-instrument,train,5,-20.1624,-26.463,6.14362,27.7396,3.36338,5.61031,-16.4719,9.50463,8.2872,-6.62971
person-instrument,train,6,-20.96,-26.0569,7.64543,27.4779,3.4231,5.30803,-16.4955,8.67681,8.10913,-6.84647
person-instrument,train,7,-21.0886,-26.5654,7.5207,27.7269,3.51555,5.5463,-16.5338,8.39423,8.39926,-6.78328
person-instrument,train,8,-21.7747,-26.2841,8.71325,27.4856,3.57555,5.37252,-16.3817,7.85746,8.13711,-6.91771
person-instrument,train,9,-22.1105,-26.5571,8.95932,27.5616,3.67351,5.52018,-16.3641,7.56632,8.30844,-6.92383
person-instrument,train,10,-22.3554,-26.5773,9.23616,27.4539,3.6401,5.5717,-16.1948,7.48605,8.48362,-7.13949
person-occupation,train,1,-1.32624,-12.5638,-3.62126,3.88742,-11.2931,-2.46378,-0.123811,11.2168,5.85678,20.1088
person-occupation,train,2,-5.46698,-19.008,-2.03605,6.74404,-8.70418,-1.57414,0.0510227,9.71343,5.64462,27.0195
person-occupation,train,3,-8.13562,-21.5559,-0.807355,9.31334,-7.82937,-2.75905,-1.17693,7.9721,5.15858,28.3284
person-occupation,train,4,-9.55453,-22.3248,0.0525146,9.9363,-7.66576,-2.84733,-1.24388,6.73863,4.96931,28.2594
person-occupation,train,5,-10.2316,-22.7327,0.708406,10.3443,-7.43876,-2.98321,-1.56004,5.93238,5.10624,28.7556
person-occupation,train,6,-10.5394,-22.9792,0.641685,10.837,-7.48449,-2.81438,-2.05915,5.75436,5.36814,29.4467
person-occupation,train,7,-11.8582,-23.2425,2.17538,11.0463,-7.54035,-2.92563,-2.00838,5.25973,5.58549,29.2197
person-occupation,train,8,-11.9812,-23.3884,2.52125,10.8101,-7.37315,-2.84987,-2.10044,4.91903,5.59818,28.5424
person-occupation,train,9,-11.8669,-23.2706,2.66574,10.3575,-7.37028,-2.923,-1.67019,4.52638,5.39868,28.3895
person-occupation,train,10,-12.1988,-23.2969,2.86864,10.3069,-7.6741,-2.78523,-1.53263,4.29008,5.47278,28.7599
person-sport,train,1,-7.91863,-18.9386,-4.45117,5.85977,-14.7349,10.0044,13.5648,5.62595,-12.2383,-11.4373
person-sport,train,2,-12.9028,-23.3413,-2.82822,8.06809,-7.84526,12.888,15.8861,1.95864,-16.3317,-11.9581
person-sport,train,3,-17.1615,-25.4868,-2.41863,9.75918,-6.46737,12.3586,14.7872,-0.289515,-18.5327,-13.1928
person-sport,train,4,-19.4593,-25.8835,-1.74034,10.6268,-5.85706,12.5919,13.9591,-1.56592,-19.4226,-13.7862
person-sport,train,5,-21.3545,-26.1534,0.143996,10.9247,-5.20422,12.6331,13.2348,-2.4606,-19.3374,-13.9425
person-sport,train,6,-21.9668,-26.0217,0.94691,10.9514,-5.34194,12.4774,13.0852,-2.93857,-19.4039,-14.2948
person-sport,train,7,-22.7108,-26.318,1.91605,11.1323,-5.30909,12.3884,13.0281,-3.5425,-19.2271,-14.4444
person-sport,train,8,-22.6656,-26.4166,2.11874,11.0064,-4.98646,12.4573,12.8687,-3.8993,-19.0855,-14.2986
person-sport,train,9,-22.6993,-26.4317,2.06751,10.9214,-4.83782,12.7297,13.1801,-4.10945,-19.0395,-14.5727
person-sport,train,10,-23.2772,-26.5497,2.79173,10.7398,-4.82384,12.8675,13.2641,-4.69964,-19.3877,-14.7347
present-past,train,1,14.7056,-0.86964,2.8293,-1.8058,-2.84722,-1.77497,2.81222,2.09369,-0.676914,1.79561
present-past,train,2,25.1381,-3.16106,9.57455,-0.638051,1.07873,-0.0768065,3.3086,-4.80506,-3.37055,2.51959
present-past,train,3,29.1042,-4.04713,11.7645,1.21483,3.26567,-0.38567,2.86784,-9.4972,-3.6985,2.52259
present-past,train,4,30.6876,-4.18264,12.5423,2.10631,4.90127,0.0412255,3.06649,-12.1992,-3.36333,2.36548
present-past,train,5,31.3652,-3.81077,13.0967,2.25203,5.56506,0.248265,3.11039,-13.4746,-2.8299,2.24493
present-past,train,6,31.7797,-3.38994,13.2719,2.3691,6.21786,0.370373,3.44114,-14.7637,-2.55431,2.12866
present-past,train,7,32.2883,-3.3874,13.3567,2.40831,6.02826,0.636738,3.24975,-15.2126,-2.26487,2.04765
present-past,train,8,32.2117,-2.98117,13.834,2.16643,6.94858,0.802229,3.78318,-16.0347,-1.98609,1.87974
present-past,train,9,31.8335,-2.62052,13.3582,1.98741,6.58819,1.15594,3.9386,-16.0403,-1.73166,1.64034
present-past,train,10,32.9851,-3.041,14.1934,2.10813,7.20016,1.28664,4.126,-17.194,-1.56338,1.69024
prev_item,train,1,4.07562,11.7842,-5.65752,0.402731,3.47975,2.24839,8.01456,15.1834,-1.60304,2.1498
prev_item,train,2,4.45162,12.4404,-4.79728,1.33079,8.81856,4.19655,9.23089,16.047,-3.6452,3.90946
