family,arm,alpha,margin_unsteered,margin_cf,margin_steered,alt_top_unsteered,alt_top_cf,alt_top_steered
js_quotes,ctrl_family,2.0,-4.700781345367432,-4.529687404632568,-5.141406059265137,0.025,0.0,0.0
js_quotes,ctrl_family,4.0,-4.700781345367432,-4.529687404632568,-3.9625000953674316,0.025,0.0,0.025
js_quotes,ctrl_family,8.0,-4.700781345367432,-4.529687404632568,-2.141406297683716,0.025,0.0,0.05
js_quotes,ctrl_random,0.5,-4.700781345367432,-4.529687404632568,-4.734375,0.025,0.0,0.025
js_quotes,ctrl_random,1.0,-4.700781345367432,-4.529687404632568,-4.771874904632568,0.025,0.0,0.025
js_quotes,ctrl_random,2.0,-4.700781345367432,-4.529687404632568,-4.83203125,0.025,0.0,0.025
js_quotes,ctrl_random,4.0,-4.700781345367432,-4.529687404632568,-4.942968845367432,0.025,0.0,0.025
js_quotes,ctrl_random,8.0,-4.700781345367432,-4.529687404632568,-5.0390625,0.025,0.0,0.0
hex_constants,read,0.5,-6.998437404632568,-3.296875,-6.707812309265137,0.0,0.125,0.0
hex_constants,read,1.0,-6.998437404632568,-3.296875,-5.629687309265137,0.0,0.125,0.1
hex_constants,read,2.0,-6.998437404632568,-3.296875,-0.2984375059604645,0.0,0.125,0.55
hex_constants,read,4.0,-6.998437404632568,-3.296875,1.8984375,0.0,0.125,0.775
hex_constants,read,8.0,-6.998437404632568,-3.296875,1.928125023841858,0.0,0.125,0.75
r_assignment,read,0.5,-5.420312404632568,-5.875,0.581250011920929,0.0,0.0,0.675
r_assignment,read,1.0,-5.420312404632568,-5.875,5.700781345367432,0.0,0.0,1.0
r_assignment,read,2.0,-5.420312404632568,-5.875,8.132031440734863,0.0,0.0,1.0
r_assignment,read,4.0,-5.420312404632568,-5.875,8.964062690734863,0.0,0.0,1.0
r_assignment,read,8.0,-5.420312404632568,-5.875,7.699999809265137,0.0,0.0,1.0
r_assignment,ctrl_family,0.5,-5.420312404632568,-5.875,-5.576562404632568,0.0,0.0,0.0
r_assignment,ctrl_family,1.0,-5.420312404632568,-5.875,-4.96875,0.0,0.0,0.0
r_assignment,ctrl_family,2.0,-5.420312404632568,-5.875,-3.692187547683716,0.0,0.0,0.0
r_assignment,ctrl_family,4.0,-5.420312404632568,-5.875,-1.9734375476837158,0.0,0.0,0.025
r_assignment,ctrl_family,8.0,-5.420312404632568,-5.875,-0.640625,0.0,0.0,0.225
r_assignment,ctrl_random,0.5,-5.420312404632568,-5.875,-5.621874809265137,0.0,0.0,0.0
r_assignment,ctrl_random,1.0,-5.420312404632568,-5.875,-5.743750095367432,0.0,0.0,0.0
r_assignment,ctrl_random,2.0,-5.420312404632568,-5.875,-5.870312690734863,0.0,0.0,0.0
r_assignment,ctrl_random,4.0,-5.420312404632568,-5.875,-5.599999904632568,0.0,0.0,0.0
r_assignment,ctrl_random,8.0,-5.420312404632568,-5.875,-2.746875047683716,0.0,0.0,0.05
js_template,read,0.5,-5.864062309265137,-3.456249952316284,-4.482812404632568,0.0,0.05,0.0
js_template,read,1.0,-5.864062309265137,-3.456249952316284,-2.4234375953674316,0.0,0.05,0.075
js_template,read,2.0,-5.864062309265137,-3.456249952316284,1.4484374523162842,0.0,0.05,0.75
js_template,read,4.0,-5.864062309265137,-3.456249952316284,5.581250190734863,0.0,0.05,0.925
js_template,read,8.0,-5.864062309265137,-3.456249952316284,3.9906249046325684,0.0,0.05,0.775
py_enumerate,read,0.5,-3.9078125953674316,-4.5390625,-3.7890625,0.075,0.1,0.075
py_enumerate,read,1.0,-3.9078125953674316,-4.5390625,-3.6468749046325684,0.075,0.1,0.1
py_enumerate,read,2.0,-3.9078125953674316,-4.5390625,-3.1703124046325684,0.075,0.1,0.1
py_enumerate,read,4.0,-3.9078125953674316,-4.5390625,0.4156250059604645,0.075,0.1,0.525
py_enumerate,read,8.0,-3.9078125953674316,-4.5390625,1.571874976158142,0.075,0.1,0.7
py_enumerate,ctrl_family,0.5,-3.9078125953674316,-4.5390625,-3.926562547683716,0.075,0.1,0.075
py_enumerate,ctrl_family,1.0,-3.9078125953674316,-4.5390625,-3.9234375953674316,0.075,0.1,0.075
py_enumerate,ctrl_family,2.0,-3.9078125953674316,-4.5390625,-3.918750047683716,0.075,0.1,0.075
py_enumerate,ctrl_family,4.0,-3.9078125953674316,-4.5390625,-3.957812547683716,0.075,0.1,0.075
py_enumerate,ctrl_family,8.0,-3.9078125953674316,-4.5390625,-3.9124999046325684,0.075,0.1,0.075
