icl_example_index,token_role,layer,k,train_sample_count,test_sample_count,train_mse,test_mse
5,first_label_token,2,5,2600,1170,33.76350784301758,21.381935119628906
5,first_label_token,3,5,2600,1170,30.261558532714844,20.109039306640625
5,first_label_token,4,5,2600,1170,23.885433197021484,18.50261688232422
5,first_label_token,5,5,2600,1170,19.33690643310547,16.77739906311035
5,first_label_token,6,5,2600,1170,16.64194679260254,15.400973320007324
5,first_label_token,7,5,2600,1170,17.9160213470459,14.621481895446777
5,first_label_token,8,5,2600,1170,17.899417877197266,14.795252799987793
5,first_label_token,9,5,2600,1170,14.310464859008789,11.319345474243164
5,first_label_token,10,5,2600,1170,12.301183700561523,9.191507339477539
5,first_label_token,11,5,2600,1170,11.500935554504395,9.764472961425781
5,first_label_token,12,5,2600,1170,11.060564994812012,10.8489408493042
5,first_label_token,13,5,2600,1170,10.785099029541016,12.211200714111328
5,first_label_token,14,5,2600,1170,11.252077102661133,12.032438278198242
5,first_label_token,15,5,2600,1170,10.823115348815918,12.933581352233887
5,first_label_token,16,5,2600,1170,10.5693998336792,12.73519229888916
5,first_label_token,17,5,2600,1170,11.579569816589355,12.760294914245605
5,first_label_token,18,5,2600,1170,11.82481861114502,13.776095390319824
5,first_label_token,19,5,2600,1170,12.46525764465332,14.98270034790039
5,first_label_token,20,5,2600,1170,12.352189064025879,14.966482162475586
5,first_label_token,21,5,2600,1170,11.754847526550293,16.03713607788086
5,first_label_token,22,5,2600,1170,11.624459266662598,16.531831741333008
5,first_label_token,23,5,2600,1170,12.112421035766602,16.152677536010742
5,first_label_token,24,5,2600,1170,12.349995613098145,16.287954330444336
5,first_label_token,25,5,2600,1170,12.763934135437012,17.599788665771484
5,first_label_token,26,5,2600,1170,12.793447494506836,18.711336135864258
5,first_label_token,27,5,2600,1170,12.799470901489258,20.200401306152344
5,first_label_token,28,5,2600,1170,14.361091613769531,21.91788673400879
5,last_label_token,0,5,2600,1170,40.68465805053711,26.611549377441406
5,last_label_token,1,5,2600,1170,31.5311222076416,20.363262176513672
5,last_label_token,2,5,2600,1170,30.039609909057617,21.43498420715332
5,last_label_token,3,5,2600,1170,28.054988861083984,20.03803062438965
5,last_label_token,4,5,2600,1170,25.114383697509766,17.89467430114746
5,last_label_token,5,5,2600,1170,20.689783096313477,14.790787696838379
5,last_label_token,6,5,2600,1170,16.066186904907227,14.34383773803711
5,last_label_token,7,5,2600,1170,15.745415687561035,14.37813663482666
5,last_label_token,8,5,2600,1170,15.466670989990234,15.565157890319824
5,last_label_token,9,5,2600,1170,12.833240509033203,11.518693923950195
5,last_label_token,10,5,2600,1170,11.347208023071289,10.077000617980957
