icl_example_index,token_role,layer,activation_k,fv_k,feature_dim,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,first_label_token,15,32,16,48,2600,1170,4.2156853675842285,5.888364791870117,0.05396099388599396,0.2623499035835266,0.1967194378376007
1,first_label_token,16,32,16,48,2600,1170,4.292856216430664,6.015558242797852,0.054987113922834396,0.26374009251594543,0.1967194378376007
1,first_label_token,17,32,16,48,2600,1170,4.346756935119629,6.368775367736816,0.05548704415559769,0.26744863390922546,0.1967194378376007
1,first_label_token,18,32,16,48,2600,1170,4.388365268707275,6.5746588706970215,0.05605648458003998,0.2700957953929901,0.1967194378376007
1,first_label_token,19,32,16,48,2600,1170,4.479539394378662,6.666218280792236,0.057081080973148346,0.2711157500743866,0.1967194378376007
1,first_label_token,20,32,16,48,2600,1170,4.555899620056152,6.962446689605713,0.05794702470302582,0.27447864413261414,0.1967194378376007
1,first_label_token,21,32,16,48,2600,1170,4.5915937423706055,7.028701305389404,0.058312829583883286,0.27515071630477905,0.1967194378376007
1,first_label_token,22,32,16,48,2600,1170,4.655695915222168,7.140087604522705,0.05906859040260315,0.27649056911468506,0.1967194378376007
1,first_label_token,23,32,16,48,2600,1170,4.722796440124512,7.291224956512451,0.0598459467291832,0.278385728597641,0.1967194378376007
1,first_label_token,24,32,16,48,2600,1170,4.802890777587891,7.252527713775635,0.060725096613168716,0.2781405448913574,0.1967194378376007
1,first_label_token,25,32,16,48,2600,1170,4.805252552032471,7.2758636474609375,0.0607551708817482,0.2784228026866913,0.1967194378376007
1,first_label_token,26,32,16,48,2600,1170,4.840210914611816,7.2228474617004395,0.06109532341361046,0.2778133153915405,0.1967194378376007
1,first_label_token,27,32,16,48,2600,1170,4.866932392120361,7.279663562774658,0.06133200600743294,0.2781817615032196,0.1967194378376007
1,first_label_token,28,32,16,48,2600,1170,4.931751251220703,7.153830051422119,0.06207907944917679,0.2765783369541168,0.1967194378376007
1,last_label_token,0,32,16,48,2600,1170,7.825355052947998,8.403322219848633,0.09645093232393265,0.2928195893764496,0.1967194378376007
1,last_label_token,1,32,16,48,2600,1170,5.834291934967041,7.984108924865723,0.07342119514942169,0.2886636257171631,0.1967194378376007
1,last_label_token,2,32,16,48,2600,1170,4.268146991729736,7.167758941650391,0.055181920528411865,0.2787795066833496,0.1967194378376007
1,last_label_token,3,32,16,48,2600,1170,3.880100965499878,6.769048690795898,0.05063154548406601,0.2742253839969635,0.1967194378376007
1,last_label_token,4,32,16,48,2600,1170,3.205021619796753,6.085159778594971,0.04273135960102081,0.2658616900444031,0.1967194378376007
1,last_label_token,5,32,16,48,2600,1170,2.7920000553131104,5.260741710662842,0.03795821964740753,0.25582969188690186,0.1967194378376007
1,last_label_token,6,32,16,48,2600,1170,2.507452964782715,4.886492729187012,0.03464725613594055,0.25138768553733826,0.1967194378376007
1,last_label_token,7,32,16,48,2600,1170,2.429959535598755,4.613483428955078,0.03366095945239067,0.2475854903459549,0.1967194378376007
1,last_label_token,8,32,16,48,2600,1170,2.30527925491333,4.3687639236450195,0.03222748264670372,0.2446662038564682,0.1967194378376007
1,last_label_token,9,32,16,48,2600,1170,2.2818288803100586,4.308652877807617,0.03180608153343201,0.2434135526418686,0.1967194378376007
1,last_label_token,10,32,16,48,2600,1170,2.2515909671783447,4.440460681915283,0.0314127653837204,0.24470162391662598,0.1967194378376007
1,last_label_token,11,32,16,48,2600,1170,2.2763869762420654,4.387388706207275,0.0317024327814579,0.24487854540348053,0.1967194378376007
1,last_label_token,12,32,16,48,2600,1170,2.2890281677246094,4.414458751678467,0.031874705106019974,0.2451331466436386,0.1967194378376007
1,last_label_token,13,32,16,48,2600,1170,2.2690258026123047,4.402510643005371,0.03168810158967972,0.24531739950180054,0.1967194378376007
1,last_label_token,14,32,16,48,2600,1170,2.2883403301239014,4.479956150054932,0.031861837953329086,0.24616654217243195,0.1967194378376007
1,last_label_token,15,32,16,48,2600,1170,2.2851524353027344,4.56375789642334,0.031862299889326096,0.24705839157104492,0.1967194378376007
1,last_label_token,16,32,16,48,2600,1170,2.258547067642212,4.6107072830200195,0.03160237520933151,0.24758535623550415,0.1967194378376007
1,last_label_token,17,32,16,48,2600,1170,2.3042402267456055,4.739005088806152,0.03204954043030739,0.2489692121744156,0.1967194378376007
1,last_label_token,18,32,16,48,2600,1170,2.312246799468994,4.868927001953125,0.03217707574367523,0.25058144330978394,0.1967194378376007
1,last_label_token,19,32,16,48,2600,1170,2.3593547344207764,4.895963668823242,0.032692279666662216,0.2507331371307373,0.1967194378376007
