family,style,k,n,mean,ci,median,pos,top1
early_return,alt,1,200,3.5241,0.261,3.625,0.95,0.93
early_return,alt,2,200,4.4131,0.4568,4.25,0.91,0.885
early_return,alt,3,200,5.0194,0.4641,5.0,0.95,0.87
early_return,alt,4,200,5.5397,0.5086,5.0,0.95,0.87
py_join_concat,nat,0,200,1.0795,0.6883,2.2812,0.7,0.41
py_join_concat,nat,1,200,3.9998,0.7608,5.0312,0.775,0.615
py_join_concat,nat,2,200,4.1522,0.763,4.875,0.78,0.595
py_join_concat,nat,3,200,5.2931,0.7691,6.4063,0.815,0.725
py_join_concat,nat,4,200,5.2297,0.7117,6.3437,0.83,0.68
py_join_concat,alt,0,200,-0.9772,0.6717,-2.25,0.305,0.08
py_join_concat,alt,1,200,2.6986,0.7054,2.25,0.695,0.52
py_join_concat,alt,2,200,3.2147,0.6452,3.5313,0.77,0.57
py_join_concat,alt,3,200,4.1261,0.6754,4.3125,0.815,0.67
py_join_concat,alt,4,200,4.0683,0.6832,4.375,0.78,0.66
py_with_open,nat,0,200,0.3054,0.3158,0.125,0.53,0.085
py_with_open,nat,1,200,4.4841,0.238,4.375,1.0,0.7
py_with_open,nat,2,200,5.3022,0.2927,5.25,1.0,0.6
py_with_open,nat,3,200,6.5025,0.3379,6.5,0.985,0.81
py_with_open,nat,4,200,6.1363,0.3409,6.0625,1.0,0.63
py_with_open,alt,0,200,-0.3063,0.3158,-0.125,0.445,0.0
py_with_open,alt,1,200,3.2323,0.3859,3.375,0.895,0.575
py_with_open,alt,2,200,4.1778,0.4188,4.25,0.905,0.505
py_with_open,alt,3,200,5.6983,0.4417,5.5625,0.965,0.785
py_with_open,alt,4,200,5.0408,0.4256,4.625,0.965,0.57
py_enumerate,nat,0,200,-1.7116,0.593,-2.25,0.21,0.21
py_enumerate,nat,1,200,2.3694,0.4626,1.625,0.765,0.755
py_enumerate,nat,2,200,2.7928,0.4239,2.25,0.885,0.87
py_enumerate,nat,3,200,3.3919,0.3833,2.75,0.945,0.925
py_enumerate,nat,4,200,3.6708,0.363,3.25,0.97,0.96
