task,arm,row,k,op,start_layer,mean_delta_all,sem_all,n_all,mean_delta_test40,sem_test40,n_test40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,26,0.0026894344482570887,0.000621643517652004,170,0.0025826275814324617,0.0010365418410742478,40
capitalize_first_letter,pcasub_matched_k4_zero,target1,4,zero,27,0.0,0.0,170,0.0,0.0,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,0,-6.009666442871094,0.206118787012393,170,-6.559689521789551,0.47221823622492143,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,1,-6.131598949432373,0.21616478814542728,170,-6.670355319976807,0.4808434132617335,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,2,-6.9513959884643555,0.261782000172211,170,-7.4308762550354,0.5472353856304384,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,3,-7.736311435699463,0.18533217767763427,170,-7.427517890930176,0.4043726941543252,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,4,-7.275055408477783,0.2364721979634668,170,-7.6039276123046875,0.46264802589220655,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,5,-5.843969821929932,0.21583385046498826,170,-6.058734893798828,0.4183363348381105,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,6,-8.547802925109863,0.23217871219201616,170,-8.634038925170898,0.4425680757348232,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,7,-6.300730228424072,0.1950387016288059,170,-6.906939506530762,0.39671400016990266,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,8,-6.992725849151611,0.18456197682118106,170,-6.980821132659912,0.3869843680090984,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,9,-6.439934253692627,0.19442091350118787,170,-6.513613700866699,0.31560549689499556,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,10,-6.151943206787109,0.23331558131944752,170,-7.442770957946777,0.41495632066214694,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,11,-8.141641616821289,0.25180085902108174,170,-8.929067611694336,0.5204708393930614,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,12,-6.749359607696533,0.2705637710912707,170,-6.967702388763428,0.6324802614541598,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,13,-6.045295238494873,0.19250215884619043,170,-5.867220878601074,0.32146980000283865,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,14,-6.599136829376221,0.233770515486297,170,-6.504791259765625,0.4943003270093218,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,15,-5.3985748291015625,0.2447066544989914,170,-6.041957378387451,0.5440049542905728,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,16,-7.261856555938721,0.2681468179003268,170,-7.5453996658325195,0.6338166302897636,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,17,-5.9793171882629395,0.2709169809617183,170,-5.6389336585998535,0.5982054731498386,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,18,-4.341365814208984,0.21211640617929237,170,-4.358588218688965,0.49400380014723827,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,19,-5.2288126945495605,0.24469376296043965,170,-4.925573348999023,0.5323095593850183,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,20,-4.304356098175049,0.20511999449149246,170,-4.308492183685303,0.4461432487672585,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,21,-4.144779682159424,0.21950523264343333,170,-4.1223883628845215,0.41551948043746667,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,22,-4.716931343078613,0.21834027641924242,170,-4.599756240844727,0.40235751026589434,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,23,-4.9546732902526855,0.22012779338319607,170,-4.9254150390625,0.4482275694806399,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,24,-4.860224723815918,0.21271312898434075,170,-5.1356306076049805,0.44239813636357067,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,25,-6.786598205566406,0.1965428058891943,170,-6.9409027099609375,0.4117823598586914,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,26,-3.8532826900482178,0.17976458732225462,170,-3.9983954429626465,0.3642851726312189,40
capitalize_first_letter,pcasub_matched_k4_zero,final_cue,4,zero,27,-6.6579203605651855,0.29920990347720655,170,-6.834531307220459,0.714419386757944,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,0,0.11117620021104813,0.01292915601552464,170,0.14299410581588745,0.029100743732088156,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,1,0.13175441324710846,0.01337462610163412,170,0.15622249245643616,0.029165887000662926,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,2,0.10113351792097092,0.013337085209936627,170,0.12409131228923798,0.02950743620421248,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,3,0.10406824201345444,0.01360410005932276,170,0.12534144520759583,0.029895027932066286,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,4,0.08174882084131241,0.012800245201474757,170,0.1114511489868164,0.027887482456479283,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,5,0.04621365666389465,0.009069397944292536,170,0.05741393566131592,0.01700213981936601,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,6,0.02906433306634426,0.007162870822182085,170,0.03575633838772774,0.01212299523566042,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,7,-0.017046187072992325,0.005542515855749754,170,-0.020162217319011688,0.009428970377517514,40
capitalize_first_letter,pcasub_matched_k4_mean,cue1,4,mean,8,-0.04208910092711449,0.006554365630901508,170,-0.04132404178380966,0.012417804515090248,40
