family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,unsteered,k4
js_quotes,nat,24,4.0,40,0.625,0.4703,0.7578,0.65,0.95,0.325,8.018,0.65,0.2,0.675
js_quotes,nat,26,2.0,40,0.475,0.3294,0.625,0.55,0.875,0.425,6.7105,0.575,0.2,0.675
js_quotes,nat,26,4.0,40,0.2,0.105,0.3476,0.25,0.875,0.55,-1.2797,0.225,0.2,0.675
js_quotes,alt,24,2.0,40,0.55,0.3983,0.6929,0.575,0.9,0.4,4.4812,0.575,0.475,0.81
js_quotes,alt,24,4.0,40,0.5,0.352,0.648,0.55,0.875,0.425,4.0719,0.55,0.475,0.81
js_quotes,alt,26,2.0,40,0.575,0.4219,0.7149,0.6,0.975,0.375,7.5353,0.525,0.475,0.81
js_quotes,alt,26,4.0,40,0.175,0.0875,0.3195,0.275,0.65,0.65,6.4269,0.025,0.475,0.81
py_const_naming,nat,24,2.0,40,0.025,0.0044,0.1288,0.05,0.75,0.925,2.3208,0.0,0.0,0.69
py_const_naming,nat,24,4.0,40,0.0,0.0,0.0876,0.025,0.725,0.975,4.4005,0.0,0.0,0.69
py_const_naming,nat,26,2.0,40,0.0,0.0,0.0876,0.0,0.75,1.0,3.9029,0.0,0.0,0.69
py_const_naming,nat,26,4.0,40,0.0,0.0,0.0876,0.0,0.75,1.0,0.392,0.0,0.0,0.69
py_const_naming,alt,24,2.0,40,0.0,0.0,0.0876,0.025,0.8,0.95,6.4886,0.0,0.025,0.675
py_const_naming,alt,24,4.0,40,0.025,0.0044,0.1288,0.075,0.65,0.9,8.2871,0.0,0.025,0.675
py_const_naming,alt,26,2.0,40,0.0,0.0,0.0876,0.0,0.8,1.0,4.7494,0.0,0.025,0.675
py_const_naming,alt,26,4.0,40,0.0,0.0,0.0876,0.025,0.2,0.775,2.2204,0.0,0.025,0.675
operator_spaces,nat,24,2.0,40,0.85,0.7093,0.9294,0.875,0.95,0.1,16.1508,0.975,0.875,0.805
operator_spaces,nat,24,4.0,40,0.875,0.7389,0.9454,0.9,0.975,0.075,18.2166,0.95,0.875,0.805
operator_spaces,nat,26,2.0,40,0.8,0.6524,0.895,0.875,0.925,0.1,16.6664,0.9,0.875,0.805
operator_spaces,nat,26,4.0,40,0.8,0.6524,0.895,0.8,0.975,0.15,15.7279,0.9,0.875,0.805
operator_spaces,alt,24,2.0,40,0.475,0.3294,0.625,0.55,0.875,0.175,1.4047,0.65,0.025,0.665
operator_spaces,alt,24,4.0,40,0.5,0.352,0.648,0.525,0.925,0.175,2.8047,0.45,0.025,0.665
operator_spaces,alt,26,2.0,40,0.425,0.2851,0.5781,0.425,0.925,0.175,1.3031,0.375,0.025,0.665
operator_spaces,alt,26,4.0,40,0.275,0.1611,0.4284,0.275,0.9,0.275,-0.9234,0.35,0.025,0.665
py2_print,nat,24,2.0,40,0.3,0.1807,0.4543,0.3,0.9,0.7,7.6952,0.075,0.175,0.665
